pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
BASARABEASCA,iesire_auto,1,Baseline_yesterday,1.3906773211567731,2.191385166914226,26304,,
BASARABEASCA,iesire_auto,1,HistGradientBoosting,1.121121622348656,1.6478167147791176,26304,20908.0,5227.0
BASARABEASCA,iesire_auto,1,RandomForest,1.1686361938907721,1.7088235400774996,26304,20908.0,5227.0
BASARABEASCA,iesire_auto,3,Baseline_yesterday,1.3906773211567731,2.191385166914226,26304,,
BASARABEASCA,iesire_auto,3,HistGradientBoosting,1.123747563932336,1.6527998190273594,26304,20906.0,5227.0
BASARABEASCA,iesire_auto,3,RandomForest,1.1666528067138406,1.7110897287944609,26304,20906.0,5227.0
BASARABEASCA,iesire_auto,24,Baseline_yesterday,1.3906773211567731,2.191385166914226,26304,,
BASARABEASCA,iesire_auto,24,HistGradientBoosting,1.1150373165405902,1.6432483783002854,26304,20889.0,5223.0
BASARABEASCA,iesire_auto,24,RandomForest,1.1632976170208784,1.708392802376166,26304,20889.0,5223.0
BASARABEASCA,intrare_auto,1,Baseline_yesterday,1.1853500761035007,1.948177542782987,26304,,
BASARABEASCA,intrare_auto,1,HistGradientBoosting,1.042308405955292,1.6569080931246631,26304,20908.0,5227.0
BASARABEASCA,intrare_auto,1,RandomForest,1.0891262304160094,1.6996450034313355,26304,20908.0,5227.0
BASARABEASCA,intrare_auto,3,Baseline_yesterday,1.1853500761035007,1.948177542782987,26304,,
BASARABEASCA,intrare_auto,3,HistGradientBoosting,1.0465303100796246,1.674592492089053,26304,20906.0,5227.0
BASARABEASCA,intrare_auto,3,RandomForest,1.0958848638193086,1.7292354461887591,26304,20906.0,5227.0
BASARABEASCA,intrare_auto,24,Baseline_yesterday,1.1853500761035007,1.948177542782987,26304,,
BASARABEASCA,intrare_auto,24,HistGradientBoosting,1.049721739685023,1.6862743793643755,26304,20889.0,5223.0
BASARABEASCA,intrare_auto,24,RandomForest,1.0935500712401678,1.7227832288319338,26304,20889.0,5223.0
BRICENI,iesire_auto,1,Baseline_yesterday,2.5871004566210045,3.677179822359319,26304,,
BRICENI,iesire_auto,1,HistGradientBoosting,1.8843462355021918,2.5478621152877627,26304,20908.0,5227.0
BRICENI,iesire_auto,1,RandomForest,1.9502076136104556,2.618606246045117,26304,20908.0,5227.0
BRICENI,iesire_auto,3,Baseline_yesterday,2.5871004566210045,3.677179822359319,26304,,
BRICENI,iesire_auto,3,HistGradientBoosting,1.8688947912919804,2.5241076015183177,26304,20906.0,5227.0
BRICENI,iesire_auto,3,RandomForest,1.9807716737714,2.6800592483412276,26304,20906.0,5227.0
