pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
MEDVEJA,iesire_auto,1,HistGradientBoosting,0.12856521481941371,0.2609524902585284,26304,20908.0,5227.0
CLOCUSNA,iesire_auto,1,HistGradientBoosting,0.23917169212876851,0.4826558087050872,26304,20908.0,5227.0
GRIMANCAUTI,iesire_auto,1,HistGradientBoosting,0.4564123574881322,0.7194672843803173,26304,20908.0,5227.0
SAITI,iesire_auto,1,HistGradientBoosting,0.484540436010414,0.8311627138086289,26304,20908.0,5227.0
CISMICHIOI,iesire_auto,1,HistGradientBoosting,0.895157368460116,1.3210124016434965,26304,20908.0,5227.0
OCNITA,iesire_auto,1,HistGradientBoosting,1.0605815258027997,1.5787240871716657,26304,20908.0,5227.0
LARGA,iesire_auto,1,HistGradientBoosting,1.0660575179067004,1.7146342755352522,26304,20908.0,5227.0
BASARABEASCA,iesire_auto,1,HistGradientBoosting,1.121121622348656,1.6478167147791176,26304,20908.0,5227.0
UNGURI,iesire_auto,1,HistGradientBoosting,1.3607096132428285,2.1086161465855273,26304,20908.0,5227.0
BRICENI,iesire_auto,1,HistGradientBoosting,1.8843462355021918,2.5478621152877627,26304,20908.0,5227.0
MIRNOE,iesire_auto,1,HistGradientBoosting,1.907055233958652,2.6111052745839918,26304,20908.0,5227.0
VULCANESTI,iesire_auto,1,HistGradientBoosting,2.2148636201472027,2.9208381065646107,26304,20908.0,5227.0
RADAUTI,iesire_auto,1,HistGradientBoosting,2.6867393549867953,3.7094349103977478,26304,20908.0,5227.0
CRIVA,iesire_auto,1,HistGradientBoosting,3.4983794338206637,4.773575517320114,26304,20908.0,5227.0
OTACI,iesire_auto,1,HistGradientBoosting,3.642863556333515,4.707791310861403,26304,20908.0,5227.0
COSTESTI,iesire_auto,1,HistGradientBoosting,4.32722132514512,5.601953389617754,26304,20908.0,5227.0
RENI,iesire_auto,1,HistGradientBoosting,4.689844557840686,5.961990780687598,26304,20908.0,5227.0
CAHUL,iesire_auto,1,HistGradientBoosting,5.63631634559124,7.35673539511051,26304,20908.0,5227.0
PALANCA,iesire_auto,1,HistGradientBoosting,6.1898045455962265,8.283148401947916,26304,20908.0,5227.0
TUDORA,iesire_auto,1,HistGradientBoosting,6.363683949150768,8.889489656352985,26304,20908.0,5227.0
GIURGIULESTI,iesire_auto,1,HistGradientBoosting,7.613178891707589,9.892164698000462,26304,20908.0,5227.0
SCULENI,iesire_auto,1,HistGradientBoosting,11.03440460924519,15.245041377905121,26304,20908.0,5227.0
LEUSENI,iesire_auto,1,HistGradientBoosting,11.79532869235681,15.993200943609072,26304,20908.0,5227.0
MEDVEJA,intrare_auto,1,HistGradientBoosting,0.12293849081459508,0.2535050287624963,26304,20908.0,5227.0
CLOCUSNA,intrare_auto,1,HistGradientBoosting,0.21888548435431604,0.4403956166350922,26304,20908.0,5227.0
GRIMANCAUTI,intrare_auto,1,HistGradientBoosting,0.40269802993115345,0.6268958551029804,26304,20908.0,5227.0
SAITI,intrare_auto,1,HistGradientBoosting,0.43423771398994204,0.7133413648137712,26304,20908.0,5227.0
CISMICHIOI,intrare_auto,1,HistGradientBoosting,0.7280102774636118,1.1567710921431862,26304,20908.0,5227.0
LARGA,intrare_auto,1,HistGradientBoosting,0.9348384535787494,1.7343876046852942,26304,20908.0,5227.0
OCNITA,intrare_auto,1,HistGradientBoosting,0.9964847038058853,1.6067161005361443,26304,20908.0,5227.0
BASARABEASCA,intrare_auto,1,HistGradientBoosting,1.042308405955292,1.6569080931246631,26304,20908.0,5227.0
UNGURI,intrare_auto,1,HistGradientBoosting,1.4060572700744198,2.1203392058523,26304,20908.0,5227.0
BRICENI,intrare_auto,1,HistGradientBoosting,1.8328150755731671,2.6247098002027736,26304,20908.0,5227.0
MIRNOE,intrare_auto,1,HistGradientBoosting,2.0261681232090782,2.8673535544809043,26304,20908.0,5227.0
VULCANESTI,intrare_auto,1,HistGradientBoosting,2.3191070518360926,3.2178517298010885,26304,20908.0,5227.0
RADAUTI,intrare_auto,1,HistGradientBoosting,2.620864180629296,3.6840038428291026,26304,20908.0,5227.0
RENI,intrare_auto,1,HistGradientBoosting,3.2644104392592435,4.354145428043767,26304,20908.0,5227.0
OTACI,intrare_auto,1,HistGradientBoosting,3.7098411369518525,4.80320287944993,26304,20908.0,5227.0
CRIVA,intrare_auto,1,HistGradientBoosting,3.839872409564352,5.138337343981917,26304,20908.0,5227.0
COSTESTI,intrare_auto,1,HistGradientBoosting,4.422516844447257,5.798765590169302,26304,20908.0,5227.0
PALANCA,intrare_auto,1,HistGradientBoosting,6.1328432302959595,8.286822136946927,26304,20908.0,5227.0
CAHUL,intrare_auto,1,HistGradientBoosting,6.420264525303681,8.481659685343613,26304,20908.0,5227.0
TUDORA,intrare_auto,1,RandomForest,6.535988337434996,8.809275807851284,26304,20908.0,5227.0
GIURGIULESTI,intrare_auto,1,HistGradientBoosting,7.288280088888984,9.510378712702144,26304,20908.0,5227.0
SCULENI,intrare_auto,1,HistGradientBoosting,13.195263515774633,18.296328440684505,26304,20908.0,5227.0
LEUSENI,intrare_auto,1,HistGradientBoosting,13.239122946402922,17.908796176070055,26304,20908.0,5227.0
MEDVEJA,iesire_auto,3,RandomForest,0.12956490549721889,0.2950433613471772,26304,20906.0,5227.0
CLOCUSNA,iesire_auto,3,HistGradientBoosting,0.2396496154424637,0.4865103150113049,26304,20906.0,5227.0
GRIMANCAUTI,iesire_auto,3,HistGradientBoosting,0.459025865459055,0.720256602423654,26304,20906.0,5227.0
SAITI,iesire_auto,3,HistGradientBoosting,0.4835398342768735,0.8327019689720893,26304,20906.0,5227.0
CISMICHIOI,iesire_auto,3,HistGradientBoosting,0.9017481785361844,1.3314124038168582,26304,20906.0,5227.0
OCNITA,iesire_auto,3,HistGradientBoosting,1.0528389729807646,1.5585482516233753,26304,20906.0,5227.0
LARGA,iesire_auto,3,HistGradientBoosting,1.0686784013641253,1.724511683458889,26304,20906.0,5227.0
BASARABEASCA,iesire_auto,3,HistGradientBoosting,1.123747563932336,1.6527998190273594,26304,20906.0,5227.0
UNGURI,iesire_auto,3,HistGradientBoosting,1.3631976340788867,2.1118547579402955,26304,20906.0,5227.0
BRICENI,iesire_auto,3,HistGradientBoosting,1.8688947912919804,2.5241076015183177,26304,20906.0,5227.0
MIRNOE,iesire_auto,3,HistGradientBoosting,2.0049711491321154,2.767432735053513,26304,20906.0,5227.0
VULCANESTI,iesire_auto,3,HistGradientBoosting,2.295749333729669,3.0241668709021714,26304,20906.0,5227.0
