pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
AEROPORT,iesire_pers,1,Baseline_yesterday,202.66050228310502,358.2077679543411,26304,,
AEROPORT,iesire_pers,1,HistGradientBoosting,373.36049274381384,489.7283398076171,26304,20908.0,5227.0
AEROPORT,iesire_pers,1,RandomForest,378.15001644506094,490.054314442738,26304,20908.0,5227.0
AEROPORT,iesire_pers,3,Baseline_yesterday,202.66050228310502,358.2077679543411,26304,,
AEROPORT,iesire_pers,3,HistGradientBoosting,380.29926430033925,516.4916072405648,26304,20906.0,5227.0
AEROPORT,iesire_pers,3,RandomForest,381.28217103842684,509.90753826031613,26304,20906.0,5227.0
AEROPORT,iesire_pers,24,Baseline_yesterday,202.66050228310502,358.2077679543411,26304,,
AEROPORT,iesire_pers,24,HistGradientBoosting,364.43824715738043,487.54236486251284,26304,20889.0,5223.0
AEROPORT,iesire_pers,24,RandomForest,377.2347330511565,491.8861106555095,26304,20889.0,5223.0
AEROPORT,intrare_pers,1,Baseline_yesterday,183.29798325722984,245.12327413068704,26304,,
AEROPORT,intrare_pers,1,HistGradientBoosting,210.69293691443968,261.70023082932425,26304,20908.0,5227.0
AEROPORT,intrare_pers,1,RandomForest,211.97927940205165,263.0934906050822,26304,20908.0,5227.0
AEROPORT,intrare_pers,3,Baseline_yesterday,183.29798325722984,245.12327413068704,26304,,
AEROPORT,intrare_pers,3,HistGradientBoosting,209.86408853488643,262.02485808265766,26304,20906.0,5227.0
AEROPORT,intrare_pers,3,RandomForest,208.6101771029772,260.75290393599784,26304,20906.0,5227.0
AEROPORT,intrare_pers,24,Baseline_yesterday,183.29798325722984,245.12327413068704,26304,,
AEROPORT,intrare_pers,24,HistGradientBoosting,194.33740486241388,244.4914344257158,26304,20889.0,5223.0
AEROPORT,intrare_pers,24,RandomForest,194.70627582328163,245.09944672047075,26304,20889.0,5223.0
BASARABEASCA,iesire_pers,1,Baseline_yesterday,5.2591324200913245,8.743503785524918,26304,,
BASARABEASCA,iesire_pers,1,HistGradientBoosting,4.0084470430705545,6.038124912252621,26304,20908.0,5227.0
BASARABEASCA,iesire_pers,1,RandomForest,4.1985587641225735,6.353012920431616,26304,20908.0,5227.0
BASARABEASCA,iesire_pers,3,Baseline_yesterday,5.2591324200913245,8.743503785524918,26304,,
BASARABEASCA,iesire_pers,3,HistGradientBoosting,4.032396210865056,6.100685802732191,26304,20906.0,5227.0
BASARABEASCA,iesire_pers,3,RandomForest,4.191619134052001,6.338157109767306,26304,20906.0,5227.0
BASARABEASCA,iesire_pers,24,Baseline_yesterday,5.2591324200913245,8.743503785524918,26304,,
BASARABEASCA,iesire_pers,24,HistGradientBoosting,3.98533550076717,5.997948607505847,26304,20889.0,5223.0
BASARABEASCA,iesire_pers,24,RandomForest,4.1325664629492005,6.297649702846657,26304,20889.0,5223.0
BASARABEASCA,intrare_pers,1,Baseline_yesterday,5.300570776255708,8.648015142541764,26304,,
BASARABEASCA,intrare_pers,1,HistGradientBoosting,4.411171886915349,6.876379763119933,26304,20908.0,5227.0
BASARABEASCA,intrare_pers,1,RandomForest,4.5110841800988615,6.975383049015483,26304,20908.0,5227.0
BASARABEASCA,intrare_pers,3,Baseline_yesterday,5.300570776255708,8.648015142541764,26304,,
BASARABEASCA,intrare_pers,3,HistGradientBoosting,4.42280723690792,6.959891025718984,26304,20906.0,5227.0
BASARABEASCA,intrare_pers,3,RandomForest,4.549231133996195,7.083044318826842,26304,20906.0,5227.0
BASARABEASCA,intrare_pers,24,Baseline_yesterday,5.300570776255708,8.648015142541764,26304,,
BASARABEASCA,intrare_pers,24,HistGradientBoosting,4.4329271454561,6.914145670591911,26304,20889.0,5223.0
BASARABEASCA,intrare_pers,24,RandomForest,4.559793401481718,7.050908994773513,26304,20889.0,5223.0
BRICENI,iesire_pers,1,Baseline_yesterday,6.706278538812786,10.273521476650664,26304,,
BRICENI,iesire_pers,1,HistGradientBoosting,5.052003662119206,7.149568279210509,26304,20908.0,5227.0
BRICENI,iesire_pers,1,RandomForest,5.180353363681097,7.323555856418537,26304,20908.0,5227.0
BRICENI,iesire_pers,3,Baseline_yesterday,6.706278538812786,10.273521476650664,26304,,
BRICENI,iesire_pers,3,HistGradientBoosting,5.031846699983735,7.1426967345484895,26304,20906.0,5227.0
BRICENI,iesire_pers,3,RandomForest,5.266380970065313,7.523879580384406,26304,20906.0,5227.0
BRICENI,iesire_pers,24,Baseline_yesterday,6.706278538812786,10.273521476650664,26304,,
BRICENI,iesire_pers,24,HistGradientBoosting,5.003557415836509,7.125599480759149,26304,20889.0,5223.0
BRICENI,iesire_pers,24,RandomForest,5.164411376515377,7.332180122613542,26304,20889.0,5223.0
BRICENI,intrare_pers,1,Baseline_yesterday,6.584627092846271,10.715388868337705,26304,,
BRICENI,intrare_pers,1,HistGradientBoosting,5.184584502954898,7.894076737987816,26304,20908.0,5227.0
BRICENI,intrare_pers,1,RandomForest,5.374930675863632,8.19119407796849,26304,20908.0,5227.0
BRICENI,intrare_pers,3,Baseline_yesterday,6.584627092846271,10.715388868337705,26304,,
BRICENI,intrare_pers,3,HistGradientBoosting,5.197459705229741,7.977171821785625,26304,20906.0,5227.0
BRICENI,intrare_pers,3,RandomForest,5.524464001130504,8.466749804409607,26304,20906.0,5227.0
BRICENI,intrare_pers,24,Baseline_yesterday,6.584627092846271,10.715388868337705,26304,,
BRICENI,intrare_pers,24,HistGradientBoosting,5.206188206440402,7.9821209300461335,26304,20889.0,5223.0
BRICENI,intrare_pers,24,RandomForest,5.398530881563658,8.23341225718323,26304,20889.0,5223.0
CAHUL,iesire_pers,1,Baseline_yesterday,39.94798325722983,56.561494194997856,26304,,
CAHUL,iesire_pers,1,HistGradientBoosting,32.890740349019296,48.465183726619436,26304,20908.0,5227.0
CAHUL,iesire_pers,1,RandomForest,34.06858044767553,49.89064165489298,26304,20908.0,5227.0
CAHUL,iesire_pers,3,Baseline_yesterday,39.94798325722983,56.561494194997856,26304,,
CAHUL,iesire_pers,3,HistGradientBoosting,34.58076702795662,51.6113645474074,26304,20906.0,5227.0
CAHUL,iesire_pers,3,RandomForest,35.85774775205663,53.08117167032162,26304,20906.0,5227.0
CAHUL,iesire_pers,24,Baseline_yesterday,39.94798325722983,56.561494194997856,26304,,
CAHUL,iesire_pers,24,HistGradientBoosting,31.54858928043524,45.66572104587655,26304,20889.0,5223.0
CAHUL,iesire_pers,24,RandomForest,32.78340991767184,47.55844458779813,26304,20889.0,5223.0
CAHUL,intrare_pers,1,Baseline_yesterday,35.72694063926941,53.10890350646543,26304,,
CAHUL,intrare_pers,1,HistGradientBoosting,33.06920406961802,49.15588436053908,26304,20908.0,5227.0
CAHUL,intrare_pers,1,RandomForest,34.272304381098145,50.53916475065926,26304,20908.0,5227.0
CAHUL,intrare_pers,3,Baseline_yesterday,35.72694063926941,53.10890350646543,26304,,
CAHUL,intrare_pers,3,HistGradientBoosting,34.9934553370725,51.62364088569084,26304,20906.0,5227.0
CAHUL,intrare_pers,3,RandomForest,36.00372249856514,53.28863825792975,26304,20906.0,5227.0
CAHUL,intrare_pers,24,Baseline_yesterday,35.72694063926941,53.10890350646543,26304,,
CAHUL,intrare_pers,24,HistGradientBoosting,32.896002061208605,48.409070127913466,26304,20889.0,5223.0
CAHUL,intrare_pers,24,RandomForest,34.04212808730615,50.11387791417638,26304,20889.0,5223.0
CISMICHIOI,iesire_pers,1,Baseline_yesterday,2.8433409436834096,4.660583935298282,26304,,
CISMICHIOI,iesire_pers,1,HistGradientBoosting,2.0974119014871935,3.3612146845839983,26304,20908.0,5227.0
