pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
MEDVEJA,iesire_pers,1,HistGradientBoosting,0.5414310824264631,0.9007671101165791,26304,20908.0,5227.0
CLOCUSNA,iesire_pers,1,HistGradientBoosting,0.7451570502173066,1.4243385228182412,26304,20908.0,5227.0
GRIMANCAUTI,iesire_pers,1,HistGradientBoosting,1.4386586848430631,2.172512817997237,26304,20908.0,5227.0
SAITI,iesire_pers,1,HistGradientBoosting,1.8599792791369494,3.2857036662140287,26304,20908.0,5227.0
CISMICHIOI,iesire_pers,1,HistGradientBoosting,2.0974119014871935,3.3612146845839983,26304,20908.0,5227.0
LARGA,iesire_pers,1,HistGradientBoosting,2.6499085990359195,4.772922267289676,26304,20908.0,5227.0
OCNITA,iesire_pers,1,HistGradientBoosting,2.7249473837360028,4.180342266336322,26304,20908.0,5227.0
BASARABEASCA,iesire_pers,1,HistGradientBoosting,4.0084470430705545,6.038124912252621,26304,20908.0,5227.0
UNGURI,iesire_pers,1,HistGradientBoosting,4.563229694015545,7.816223551223248,26304,20908.0,5227.0
BRICENI,iesire_pers,1,HistGradientBoosting,5.052003662119206,7.149568279210509,26304,20908.0,5227.0
VULCANESTI,iesire_pers,1,HistGradientBoosting,5.30429392362821,8.036862945041069,26304,20908.0,5227.0
MIRNOE,iesire_pers,1,HistGradientBoosting,5.886378838636023,8.876565780981757,26304,20908.0,5227.0
RADAUTI,iesire_pers,1,HistGradientBoosting,8.390181033383527,12.73858138140937,26304,20908.0,5227.0
CRIVA,iesire_pers,1,HistGradientBoosting,13.935020357745875,19.1482286723308,26304,20908.0,5227.0
RENI,iesire_pers,1,HistGradientBoosting,15.984838895237138,21.030808932886817,26304,20908.0,5227.0
COSTESTI,iesire_pers,1,HistGradientBoosting,21.28614518190235,28.780545851096743,26304,20908.0,5227.0
GIURGIULESTI,iesire_pers,1,HistGradientBoosting,27.77553297017997,38.39646489016769,26304,20908.0,5227.0
TUDORA,iesire_pers,1,HistGradientBoosting,32.64706993934902,45.75224997848013,26304,20908.0,5227.0
CAHUL,iesire_pers,1,HistGradientBoosting,32.890740349019296,48.465183726619436,26304,20908.0,5227.0
OTACI,iesire_pers,1,HistGradientBoosting,33.16435523201836,43.18587307681196,26304,20908.0,5227.0
PALANCA,iesire_pers,1,HistGradientBoosting,33.90138042050768,45.59043906350763,26304,20908.0,5227.0
SCULENI,iesire_pers,1,HistGradientBoosting,38.24522956466903,53.989022450357616,26304,20908.0,5227.0
LEUSENI,iesire_pers,1,HistGradientBoosting,43.84325716648559,58.18751853197084,26304,20908.0,5227.0
MEDVEJA,intrare_pers,1,HistGradientBoosting,0.45631693914144195,0.782660370637971,26304,20908.0,5227.0
CLOCUSNA,intrare_pers,1,HistGradientBoosting,0.6370268614738333,1.2999765274097337,26304,20908.0,5227.0
GRIMANCAUTI,intrare_pers,1,HistGradientBoosting,1.2900506849429103,2.079868487187292,26304,20908.0,5227.0
SAITI,intrare_pers,1,HistGradientBoosting,1.7978339801900627,3.17103267864719,26304,20908.0,5227.0
CISMICHIOI,intrare_pers,1,HistGradientBoosting,2.0227929242638365,3.24055109394206,26304,20908.0,5227.0
LARGA,intrare_pers,1,HistGradientBoosting,2.539054911839785,4.984792428702906,26304,20908.0,5227.0
OCNITA,intrare_pers,1,HistGradientBoosting,2.7501375414276117,4.471875887783084,26304,20908.0,5227.0
BASARABEASCA,intrare_pers,1,HistGradientBoosting,4.411171886915349,6.876379763119933,26304,20908.0,5227.0
UNGURI,intrare_pers,1,HistGradientBoosting,5.0336147969134775,8.149638491723993,26304,20908.0,5227.0
BRICENI,intrare_pers,1,HistGradientBoosting,5.184584502954898,7.894076737987816,26304,20908.0,5227.0
MIRNOE,intrare_pers,1,HistGradientBoosting,6.612005249717094,10.157001463336034,26304,20908.0,5227.0
RADAUTI,intrare_pers,1,HistGradientBoosting,7.6953600505626945,11.450045747702516,26304,20908.0,5227.0
VULCANESTI,intrare_pers,1,HistGradientBoosting,7.851885444211958,14.478526007229648,26304,20908.0,5227.0
CRIVA,intrare_pers,1,HistGradientBoosting,14.24235676160875,19.24938569719777,26304,20908.0,5227.0
RENI,intrare_pers,1,HistGradientBoosting,18.589223258032106,26.187067817330462,26304,20908.0,5227.0
COSTESTI,intrare_pers,1,HistGradientBoosting,22.133400634344973,29.17404643697118,26304,20908.0,5227.0
GIURGIULESTI,intrare_pers,1,HistGradientBoosting,24.529035358792722,32.656089471747975,26304,20908.0,5227.0
OTACI,intrare_pers,1,HistGradientBoosting,31.899201780412064,41.57053097059187,26304,20908.0,5227.0
CAHUL,intrare_pers,1,HistGradientBoosting,33.06920406961802,49.15588436053908,26304,20908.0,5227.0
TUDORA,intrare_pers,1,HistGradientBoosting,33.67343245186265,44.79055009333946,26304,20908.0,5227.0
PALANCA,intrare_pers,1,RandomForest,35.01086799078337,47.96354036555591,26304,20908.0,5227.0
SCULENI,intrare_pers,1,HistGradientBoosting,41.7411822027761,57.41242982213223,26304,20908.0,5227.0
LEUSENI,intrare_pers,1,HistGradientBoosting,49.07715408361574,65.40767088661077,26304,20908.0,5227.0
MEDVEJA,iesire_pers,3,HistGradientBoosting,0.5418299647229159,0.8952219499603875,26304,20906.0,5227.0
CLOCUSNA,iesire_pers,3,HistGradientBoosting,0.7504838866627457,1.4569694949364098,26304,20906.0,5227.0
GRIMANCAUTI,iesire_pers,3,HistGradientBoosting,1.452622414720472,2.187379078165031,26304,20906.0,5227.0
SAITI,iesire_pers,3,HistGradientBoosting,1.8671011405757223,3.305954920696849,26304,20906.0,5227.0
CISMICHIOI,iesire_pers,3,HistGradientBoosting,2.0948539767514713,3.3987005511289614,26304,20906.0,5227.0
LARGA,iesire_pers,3,HistGradientBoosting,2.7201350312393617,4.926868498571722,26304,20906.0,5227.0
OCNITA,iesire_pers,3,HistGradientBoosting,2.748113026084721,4.201347603372074,26304,20906.0,5227.0
BASARABEASCA,iesire_pers,3,HistGradientBoosting,4.032396210865056,6.100685802732191,26304,20906.0,5227.0
UNGURI,iesire_pers,3,HistGradientBoosting,4.49229346618981,7.760268711486394,26304,20906.0,5227.0
BRICENI,iesire_pers,3,HistGradientBoosting,5.031846699983735,7.1426967345484895,26304,20906.0,5227.0
VULCANESTI,iesire_pers,3,HistGradientBoosting,5.446222881774761,8.1334234951346,26304,20906.0,5227.0
MIRNOE,iesire_pers,3,HistGradientBoosting,6.0441415257900415,9.185964450767763,26304,20906.0,5227.0
RADAUTI,iesire_pers,3,HistGradientBoosting,8.36461238758309,12.682825641372627,26304,20906.0,5227.0
CRIVA,iesire_pers,3,HistGradientBoosting,14.012521648165292,19.41845218658311,26304,20906.0,5227.0
RENI,iesire_pers,3,HistGradientBoosting,16.236335241268208,21.41882054694234,26304,20906.0,5227.0
COSTESTI,iesire_pers,3,HistGradientBoosting,21.475434704713795,28.803631671432488,26304,20906.0,5227.0
GIURGIULESTI,iesire_pers,3,HistGradientBoosting,28.465557489744405,40.01166600393028,26304,20906.0,5227.0
OTACI,iesire_pers,3,HistGradientBoosting,33.355793653138974,43.40852978348287,26304,20906.0,5227.0
CAHUL,iesire_pers,3,HistGradientBoosting,34.58076702795662,51.6113645474074,26304,20906.0,5227.0
PALANCA,iesire_pers,3,HistGradientBoosting,35.132601095208116,47.24558543933021,26304,20906.0,5227.0
TUDORA,iesire_pers,3,HistGradientBoosting,35.85064315840783,50.40965690057744,26304,20906.0,5227.0
SCULENI,iesire_pers,3,HistGradientBoosting,40.5568689510906,57.6764453731989,26304,20906.0,5227.0
LEUSENI,iesire_pers,3,HistGradientBoosting,48.175811589791664,64.17332849355402,26304,20906.0,5227.0
MEDVEJA,intrare_pers,3,HistGradientBoosting,0.4581215690857056,0.7866288505546422,26304,20906.0,5227.0
CLOCUSNA,intrare_pers,3,HistGradientBoosting,0.6585611455178599,1.3635966265835915,26304,20906.0,5227.0
GRIMANCAUTI,intrare_pers,3,HistGradientBoosting,1.2821591892280664,2.064247448523581,26304,20906.0,5227.0
SAITI,intrare_pers,3,HistGradientBoosting,1.819785976605193,3.265173241145636,26304,20906.0,5227.0
CISMICHIOI,intrare_pers,3,HistGradientBoosting,2.0153450609330643,3.2660352097528427,26304,20906.0,5227.0
LARGA,intrare_pers,3,HistGradientBoosting,2.5415444807591623,5.1461864245989,26304,20906.0,5227.0
OCNITA,intrare_pers,3,HistGradientBoosting,2.7424774056177967,4.459803710659569,26304,20906.0,5227.0
BASARABEASCA,intrare_pers,3,HistGradientBoosting,4.42280723690792,6.959891025718984,26304,20906.0,5227.0
UNGURI,intrare_pers,3,HistGradientBoosting,5.150279194795655,8.593108114171274,26304,20906.0,5227.0
BRICENI,intrare_pers,3,HistGradientBoosting,5.197459705229741,7.977171821785625,26304,20906.0,5227.0
MIRNOE,intrare_pers,3,HistGradientBoosting,6.73919017539738,10.289464505118671,26304,20906.0,5227.0
RADAUTI,intrare_pers,3,HistGradientBoosting,7.722540038049113,11.49667550849584,26304,20906.0,5227.0
VULCANESTI,intrare_pers,3,HistGradientBoosting,8.009000788880256,14.781814835809953,26304,20906.0,5227.0
CRIVA,intrare_pers,3,HistGradientBoosting,14.27098558215195,19.32370877848355,26304,20906.0,5227.0
RENI,intrare_pers,3,HistGradientBoosting,18.888706891332774,26.59479507643882,26304,20906.0,5227.0
COSTESTI,intrare_pers,3,HistGradientBoosting,22.254804473601794,29.47267728358156,26304,20906.0,5227.0
GIURGIULESTI,intrare_pers,3,HistGradientBoosting,25.058135973817553,33.308923066709816,26304,20906.0,5227.0
OTACI,intrare_pers,3,HistGradientBoosting,32.33579645960077,42.43842999206051,26304,20906.0,5227.0
CAHUL,intrare_pers,3,HistGradientBoosting,34.9934553370725,51.62364088569084,26304,20906.0,5227.0
PALANCA,intrare_pers,3,HistGradientBoosting,36.143486266751665,49.364473416115686,26304,20906.0,5227.0
TUDORA,intrare_pers,3,HistGradientBoosting,38.26347829392786,50.79665068805867,26304,20906.0,5227.0
SCULENI,intrare_pers,3,HistGradientBoosting,44.865994840424314,61.20584407662183,26304,20906.0,5227.0
LEUSENI,intrare_pers,3,HistGradientBoosting,53.575937169440124,71.27024496574148,26304,20906.0,5227.0
MEDVEJA,iesire_pers,24,HistGradientBoosting,0.5359582124337946,0.8900290897761595,26304,20889.0,5223.0
CLOCUSNA,iesire_pers,24,HistGradientBoosting,0.7494181250512301,1.4528951074285341,26304,20889.0,5223.0
GRIMANCAUTI,iesire_pers,24,HistGradientBoosting,1.447113612753797,2.1862866219322723,26304,20889.0,5223.0
SAITI,iesire_pers,24,HistGradientBoosting,1.8529846903781049,3.0746680016617405,26304,20889.0,5223.0
CISMICHIOI,iesire_pers,24,HistGradientBoosting,2.1106751229994183,3.4139054217702034,26304,20889.0,5223.0
LARGA,iesire_pers,24,HistGradientBoosting,2.5925523465897333,4.666876748564328,26304,20889.0,5223.0
OCNITA,iesire_pers,24,HistGradientBoosting,2.735809656776399,4.197622035644673,26304,20889.0,5223.0
BASARABEASCA,iesire_pers,24,HistGradientBoosting,3.98533550076717,5.997948607505847,26304,20889.0,5223.0
UNGURI,iesire_pers,24,HistGradientBoosting,4.577390720610826,7.741232194791171,26304,20889.0,5223.0
BRICENI,iesire_pers,24,HistGradientBoosting,5.003557415836509,7.125599480759149,26304,20889.0,5223.0
VULCANESTI,iesire_pers,24,HistGradientBoosting,5.247526776058439,7.854019109595522,26304,20889.0,5223.0
MIRNOE,iesire_pers,24,HistGradientBoosting,5.595071643105568,8.449469025053505,26304,20889.0,5223.0
RADAUTI,iesire_pers,24,HistGradientBoosting,8.475710150730805,12.968096279594077,26304,20889.0,5223.0
CRIVA,iesire_pers,24,HistGradientBoosting,13.439295348203748,18.18324598600019,26304,20889.0,5223.0
RENI,iesire_pers,24,HistGradientBoosting,15.907194158030828,20.964771096356657,26304,20889.0,5223.0
